"Data Source","World Development Indicators",

"Last Updated Date","2017-12-22",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Central Europe and the Baltics","CEB","Population ages 15-64, female","SP.POP.1564.FE.IN","30124661","30337128","30590938","30911459","31270745","31585284","31939069","32327564","32682675","33004708","33273571","33445231","33731274","34032567","34308072","34541301","34717676","34792444","34806252","34844487","34990242","35188287","35488299","35841072","36158027","36394736","36587959","36692550","36747859","36749589","36771118","36632011","36631082","36806241","36947995","37065878","37096626","37202938","37256666","37371708","37299281","37231701","37130514","37153027","37183502","37200343","37166114","37073365","36961114","36869461","36665797","36394669","36148089","35879331","35576533","35232994","34889264","",
"Switzerland","CHE","Population ages 15-64, female","SP.POP.1564.FE.IN","1801831","1827571","1867220","1902692","1931036","1951082","1964471","1982562","2001737","2019226","2030064","2035369","2048015","2062477","2075239","2078534","2070269","2068054","2074928","2087981","2106725","2130637","2156664","2178875","2197110","2213758","2226937","2241114","2256142","2271324","2290088","2314795","2334856","2349829","2362951","2374868","2379460","2381316","2386418","2397165","2410942","2430234","2453934","2477927","2500270","2520287","2538582","2562284","2594004","2623351","2645166","2669041","2690542","2712913","2736228","2757362","2775158","",
"Channel Islands","CHI","Population ages 15-64, female","SP.POP.1564.FE.IN","36276","36481","36797","37126","37405","37656","37997","38396","38739","39002","39248","39623","40093","40613","41140","41631","41921","42182","42451","42795","43242","43688","44264","44887","45528","46144","46756","47378","47955","48484","48956","49173","49375","49542","49686","49830","50085","50352","50633","50972","51373","51699","52072","52475","52864","53224","53462","53737","54010","54261","54490","54736","54948","55131","55266","55355","55367","",
"Chile","CHL","Population ages 15-64, female","SP.POP.1564.FE.IN","2209360","2252820","2295168","2338402","2385889","2439181","2493590","2553660","2618093","2684787","2752589","2817024","2884246","2953619","3024539","3096801","3171063","3244996","3319619","3396258","3475245","3554542","3635371","3717288","3799256","3880435","3958814","4037342","4115112","4191745","4267209","4338290","4410754","4483785","4556607","4629203","4705400","4779857","4854451","4931742","5012682","5095204","5180962","5268296","5354056","5436090","5514820","5589734","5661049","5729978","5797024","5859359","5921464","5981162","6035446","6082789","6126877","",
"China","CHN","Population ages 15-64, female","SP.POP.1564.FE.IN","181051468","179085133","179480583","182584790","186153951","190889192","195274201","200598182","206838541","213405119","219757595","225587148","231009669","236323567","241732397","247264495","253329134","259545810","266371338","273810919","281517698","290012616","299084519","308110700","316622396","324952564","332387114","339866445","347024973","353803481","360500754","365354250","371090103","377278996","383261263","388623696","396145771","402118322","407421212","413410799","420715756","427636833","435781818","444556140","452842099","460056492","465801605","470718146","474758195","477960487","480397776","482262800","483456474","484035246","484147706","483841282","483096850","",
"Cote d'Ivoire","CIV","Population ages 15-64, female","SP.POP.1564.FE.IN","936457","963727","993225","1024777","1058690","1095033","1126562","1161730","1200826","1244060","1291595","1343241","1400872","1463717","1530929","1601665","1668715","1740411","1816525","1897113","1982171","2063145","2150970","2244494","2342348","2443805","2540513","2640776","2745934","2857931","2977544","3097404","3225208","3359013","3495775","3633064","3756307","3880302","4003679","4125078","4243448","4328736","4412107","4496255","4584137","4678288","4782740","4894483","5015610","5147985","5291665","5445518","5612133","5789223","5973178","6161232","6341673","",
"Cameroon","CMR","Population ages 15-64, female","SP.POP.1564.FE.IN","1492444","1516037","1541785","1569687","1599993","1632788","1659909","1690989","1725294","1761936","1800505","1834266","1871248","1911345","1954770","2001632","2044840","2092635","2144616","2200238","2259203","2314906","2374573","2438292","2506430","2579134","2647127","2721565","2801168","2884556","2971249","3053027","3139461","3230619","3326978","3428902","3524701","3627183","3736471","3852149","3973649","4088748","4209926","4336954","4469898","4608575","4739675","4879228","5025431","5176297","5331035","5480677","5636649","5799005","5968616","6146164","6322754","",
"Congo, Dem. Rep.","COD","Population ages 15-64, female","SP.POP.1564.FE.IN","4371326","4465235","4571768","4688318","4811356","4939170","5052033","5173685","5302520","5437977","5579836","5700619","5830054","5968960","6118427","6279141","6428282","6592830","6768153","6948993","7132578","7285792","7445702","7614807","7796620","7993833","8176829","8381281","8611223","8871367","9162908","9472313","9820172","10186418","10549065","10896677","11168220","11424973","11683148","11961559","12271946","12584087","12935511","13320605","13732817","14167381","14582872","15031461","15508964","16011174","16536273","17047885","17590703","18164605","18771882","19414508","20056672","",
"Congo, Rep.","COG","Population ages 15-64, female","SP.POP.1564.FE.IN","289246","295001","301244","307915","315026","322566","329550","337153","345355","354148","363533","372917","383053","393817","405112","416833","427340","438440","450191","462712","476097","489567","504228","519891","536351","553474","570261","587791","606166","625533","645980","666563","688374","711247","734927","759264","783429","808418","834080","860311","887067","911459","936837","963554","992074","1022729","1056633","1092874","1130412","1168133","1205269","1233538","1261699","1290409","1320633","1353235","1389445","",
"Colombia","COL","Population ages 15-64, female","SP.POP.1564.FE.IN","4213776","4325261","4442634","4567824","4703263","4849755","4994389","5152370","5320418","5495143","5675410","5849926","6036879","6234201","6438155","6646948","6876061","7097747","7320601","7557226","7812262","8053978","8320794","8600297","8874062","9133186","9382934","9622020","9854769","10090813","10335816","10592414","10852394","11117550","11389423","11668285","11943033","12229264","12522665","12815760","13104349","13397604","13680197","13956188","14233244","14514266","14779421","15052617","15325781","15586761","15829343","16062682","16276609","16474665","16663765","16847016","17019897","",
"Comoros","COM","Population ages 15-64, female","SP.POP.1564.FE.IN","53568","53857","54128","54441","54892","55547","56215","57116","58194","59372","60602","61645","62783","64086","65652","67525","69650","72147","74853","77588","80237","82467","84579","86670","88855","91214","93491","96003","98724","101609","104644","107709","110976","114439","118093","121945","125842","129901","134126","138507","143033","147424","151978","156674","161492","166411","171208","176138","181206","186422","191803","197099","202591","208221","213966","219797","225455","",
"Cabo Verde","CPV","Population ages 15-64, female","SP.POP.1564.FE.IN","58482","58688","58599","58544","59026","60235","61301","63152","65324","67169","68434","69184","69212","68976","69058","69747","70561","72062","74058","76212","78299","80607","82779","84764","86570","88196","89374","90339","91216","92166","93294","94949","96959","99282","101833","104566","107415","110390","113470","116660","119947","123369","126850","130382","133886","137296","140210","142969","145707","148575","151619","155195","159039","163001","166891","170580","174132","",
"Costa Rica","CRI","Population ages 15-64, female","SP.POP.1564.FE.IN","341716","352718","365653","379831","394239","408406","422083","435964","450205","465292","481563","498906","517374","537014","557648","579075","601942","624826","648020","671958","696691","719729","744258","769329","793684","816733","838674","859651","880290","901770","924866","950674","978232","1007516","1038284","1070286","1103500","1137955","1173204","1208683","1243900","1276149","1308171","1339840","1370908","1401244","1431717","1460608","1488214","1515068","1541285","1564263","1587332","1609848","1630882","1650064","1668846","",
"Caribbean small states","CSS","Population ages 15-64, female","SP.POP.1564.FE.IN","1120219","1131050","1142843","1155616","1168983","1182398","1192864","1202542","1211997","1222078","1233767","1258226","1282901","1308208","1334815","1362877","1394645","1427073","1459141","1489368","1517410","1549299","1578515","1605843","1633059","1661075","1682431","1705617","1729007","1750272","1768856","1793574","1815958","1837286","1859858","1884518","1909061","1934344","1959700","1984074","2007461","2036227","2064751","2092900","2120515","2147536","2175563","2202784","2229763","2256771","2283586","2308943","2334797","2360160","2383472","2403691","2421696","",
"Cuba","CUB","Population ages 15-64, female","SP.POP.1564.FE.IN","2112637","2158397","2189455","2212708","2239299","2274113","2291713","2326539","2370168","2409606","2439449","2481950","2511323","2535293","2567404","2614196","2663250","2729359","2806468","2882284","2949757","3023840","3082830","3133579","3187442","3249366","3307348","3375590","3446719","3509897","3559719","3594906","3622406","3643055","3660023","3676022","3701617","3721076","3738087","3757001","3779239","3800229","3826389","3854481","3878983","3897228","3914188","3924575","3930478","3935694","3941947","3950250","3959131","3966623","3969794","3966766","3955851","",
"Curacao","CUW","Population ages 15-64, female","SP.POP.1564.FE.IN","33196","33667","34558","35572","36528","37383","38008","38499","39133","39884","40777","41783","42358","42756","43828","44659","45676","46569","47038","47645","48387","49211","50182","50937","51590","52240","52375","52065","51358","50573","50013","49766","49673","49862","50010","50219","50729","51049","50295","48644","46762","45445","45717","46827","47823","49258","50816","52207","53255","53872","54662","55511","55812","56144","56551","56921","57226","",
"Cayman Islands","CYM","Population ages 15-64, female","SP.POP.1564.FE.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cyprus","CYP","Population ages 15-64, female","SP.POP.1564.FE.IN","171192","171598","172143","173238","175002","177357","178383","179788","181471","183271","184986","189326","193584","197408","200787","203963","207806","211760","215627","219203","222377","222909","223239","223569","224254","225612","227636","230620","234166","237986","242090","247845","254109","260730","267644","274770","281518","288867","296505","304136","311636","318542","325193","331808","338809","346456","355206","364756","374437","383407","391079","395201","398042","399898","401400","403056","404736","",
